orden,anio,mes,dia,fecha,pais,ciudad,categoría,producto,precio,util_porcent,Cantidad,Total,utilidad
1333,2024,4,19,19/04/2023,Uruguay,Montevideo,Smartphones,iPhone 13,1099,0.19,5,5495,1044.05
1334,2024,4,25,25/04/2023,Costa Rica,Limón,Laptops,Acer Swift 5,899,0.32,1,899,287.68
1335,2024,4,30,30/04/2023,Paraguay,Encarnación,Auriculares,Samsung Galaxy Buds Pro,174,0.11,1,174,19.14
1336,2024,4,16,16/04/2023,Paraguay,Asunción,Auriculares,Audio-Technica ATH-M50x,174,0.32,4,696,222.72
1337,2024,4,21,21/04/2023,Paraguay,Asunción,Laptops,Gigabyte Aero 15 OLED,2599,0.11,3,7797,857.67
1338,2024,4,24,24/04/2023,Bolivia,Cochabamba,Laptops,MacBook Pro 14,2999,0.19,2,5998,1139.62
1339,2024,4,8,08/04/2023,Costa Rica,San José,Smartphones,LG Velvet,649,0.12,2,1298,155.76
1340,2024,4,13,13/04/2023,Bolivia,Santa Cruz de la Sierra,Tablets,ASUS ZenPad 3S 10,399,0.2,2,798,159.6
1341,2024,4,28,28/04/2023,Brasil,São Paulo,Tablets,ASUS ZenPad 3S 10,399,0.2,4,1596,319.2
1342,2024,4,19,19/04/2023,Brasil,Río de Janeiro,Smartphones,Asus ROG Phone 5,1099,0.13,5,5495,714.35
1343,2024,4,9,09/04/2023,Panamá,Colón,Laptops,Microsoft Surface Laptop 4,1649,0.27,2,3298,890.46
1344,2024,4,30,30/04/2023,Ecuador,Guayaquil,Smartphones,Asus ROG Phone 5,1099,0.13,4,4396,571.48
1345,2024,4,16,16/04/2023,Bolivia,Santa Cruz de la Sierra,Smartphones,Motorola Edge 20 Pro,849,0.2,5,4245,849
1346,2024,4,3,03/04/2023,Colombia,Medellín,Smartphones,Xiaomi Mi 11,699,0.2,2,1398,279.6
1347,2024,4,11,11/04/2023,México,Guadalajara,Tablets,Lenovo Tab P11 Pro,549,0.3,1,549,164.7
1348,2024,4,8,08/04/2023,Venezuela,Valencia,Laptops,HP Spectre x360,1799,0.25,5,8995,2248.75
1349,2024,4,8,08/04/2023,Perú,Trujillo,Laptops,Acer Swift 5,899,0.32,1,899,287.68
1350,2024,4,17,17/04/2023,Brasil,São Paulo,Auriculares,Sennheiser Momentum 3,324,0.32,4,1296,414.72
1351,2024,4,29,29/04/2023,Ecuador,Quito,Tablets,Xiaomi Mi Pad 5,449,0.26,3,1347,350.22
1352,2024,4,25,25/04/2023,Paraguay,Encarnación,Tablets,Samsung Galaxy Tab S7,699,0.15,3,2097,314.55
1353,2024,4,28,28/04/2023,Venezuela,Caracas,Smartphones,Huawei P40 Pro,899,0.34,2,1798,611.32
1354,2024,4,23,23/04/2023,Perú,Lima,Laptops,Gigabyte Aero 15 OLED,2599,0.11,2,5198,571.78
1355,2024,4,6,06/04/2023,Colombia,Medellín,Auriculares,Razer Opus,224,0.11,1,224,24.64
1356,2024,4,14,14/04/2023,Costa Rica,San José,Smartphones,Motorola Edge 20 Pro,849,0.2,3,2547,509.4
1357,2024,4,28,28/04/2023,Chile,Santiago,Auriculares,Apple AirPods Pro,224,0.26,2,448,116.48
1358,2024,4,21,21/04/2023,Uruguay,Montevideo,Auriculares,Sony WH-1000XM4,324,0.27,2,648,174.96
1359,2024,4,16,16/04/2023,Perú,Lima,Smartphones,Google Pixel 6,749,0.28,1,749,209.72
1360,2024,4,21,21/04/2023,Paraguay,Ciudad del Este,Laptops,HP Spectre x360,1799,0.25,4,7196,1799
1361,2024,4,20,20/04/2023,Brasil,Brasilia,Auriculares,Sony WH-1000XM4,324,0.27,3,972,262.44
1362,2024,4,3,03/04/2023,Colombia,Cali,Smartphones,Oppo Find X3 Pro,1049,0.23,3,3147,723.81
1363,2024,4,17,17/04/2023,Colombia,Medellín,Laptops,Gigabyte Aero 15 OLED,2599,0.11,1,2599,285.89
1364,2024,4,4,04/04/2023,Costa Rica,San José,Smartphones,iPhone 13,1099,0.19,4,4396,835.24
1365,2024,4,26,26/04/2023,Panamá,Colón,Laptops,Lenovo ThinkPad X1 Carbon,2049,0.11,4,8196,901.56
1366,2024,4,27,27/04/2023,Venezuela,Caracas,Smartphones,Huawei P40 Pro,899,0.34,3,2697,916.98
1367,2024,4,6,06/04/2023,Venezuela,Valencia,Auriculares,Razer Opus,224,0.11,3,672,73.92
1368,2024,4,28,28/04/2023,Bolivia,La Paz,Smartphones,Huawei P40 Pro,899,0.34,4,3596,1222.64
1369,2024,4,25,25/04/2023,Brasil,Brasilia,Tablets,LG G Pad 5 10.1,249,0.33,3,747,246.51
1370,2024,4,6,06/04/2023,Costa Rica,Heredia,Laptops,Microsoft Surface Laptop 4,1649,0.27,4,6596,1780.92
1371,2024,4,10,10/04/2023,Bolivia,La Paz,Laptops,Lenovo ThinkPad X1 Carbon,2049,0.11,4,8196,901.56
1372,2024,4,19,19/04/2023,México,Monterrey,Auriculares,Samsung Galaxy Buds Pro,174,0.11,3,522,57.42
1373,2024,4,27,27/04/2023,Paraguay,Encarnación,Tablets,Microsoft Surface Pro 7,999,0.35,4,3996,1398.6
1374,2024,4,2,02/04/2023,Venezuela,Valencia,Auriculares,Beats Studio3,274,0.13,2,548,71.24
1375,2024,4,13,13/04/2023,Bolivia,Cochabamba,Auriculares,Sennheiser Momentum 3,324,0.32,5,1620,518.4
1376,2024,4,7,07/04/2023,Costa Rica,San José,Laptops,Razer Blade 15,2649,0.33,1,2649,874.17
1377,2024,4,27,27/04/2023,Ecuador,Quito,Tablets,Amazon Fire HD 10,199,0.31,4,796,246.76
1378,2024,4,13,13/04/2023,Uruguay,Ciudad de la Costa,Tablets,Amazon Fire HD 10,199,0.31,3,597,185.07
1379,2024,4,12,12/04/2023,Chile,Valparaíso,Smartphones,Sony Xperia 1 III,1199,0.1,2,2398,239.8
1380,2024,4,23,23/04/2023,Chile,Valparaíso,Laptops,MacBook Pro 14,2999,0.19,1,2999,569.81
1381,2024,4,1,01/04/2023,Bolivia,La Paz,Auriculares,Samsung Galaxy Buds Pro,174,0.11,5,870,95.7
1382,2024,4,27,27/04/2023,Ecuador,Quito,Auriculares,Sennheiser Momentum 3,324,0.32,1,324,103.68
1383,2024,4,3,03/04/2023,Ecuador,Guayaquil,Smartphones,Xiaomi Mi 11,699,0.2,2,1398,279.6
1384,2024,4,22,22/04/2023,Colombia,Medellín,Smartphones,Samsung Galaxy S21,899,0.28,2,1798,503.44
1385,2024,4,28,28/04/2023,Perú,Trujillo,Laptops,Razer Blade 15,2649,0.33,5,13245,4370.85
1386,2024,4,18,18/04/2023,Chile,Valparaíso,Laptops,Gigabyte Aero 15 OLED,2599,0.11,3,7797,857.67
1387,2024,4,30,30/04/2023,Paraguay,Asunción,Smartphones,Samsung Galaxy S21,899,0.28,5,4495,1258.6
1388,2024,4,3,03/04/2023,Ecuador,Quito,Smartphones,Google Pixel 6,749,0.28,1,749,209.72
1389,2024,4,28,28/04/2023,México,Monterrey,Auriculares,Bose QuietComfort 35 II,274,0.28,4,1096,306.88
1390,2024,4,2,02/04/2023,Ecuador,Quito,Laptops,MacBook Pro 14,2999,0.19,1,2999,569.81
1391,2024,4,6,06/04/2023,Venezuela,Caracas,Smartphones,Oppo Find X3 Pro,1049,0.23,1,1049,241.27
1392,2024,4,24,24/04/2023,Costa Rica,San José,Smartphones,Huawei P40 Pro,899,0.34,4,3596,1222.64
1393,2024,4,19,19/04/2023,Brasil,Brasilia,Tablets,Google Pixel Slate,799,0.3,5,3995,1198.5
1394,2024,4,29,29/04/2023,Panamá,Colón,Auriculares,Sony WH-1000XM4,324,0.27,4,1296,349.92
1395,2024,4,27,27/04/2023,Paraguay,Asunción,Tablets,ASUS ZenPad 3S 10,399,0.2,5,1995,399
1396,2024,4,4,04/04/2023,México,Guadalajara,Laptops,MSI GS66 Stealth,2249,0.2,3,6747,1349.4
1397,2024,4,1,01/04/2023,Costa Rica,San José,Auriculares,Razer Opus,224,0.11,5,1120,123.2
1398,2024,4,11,11/04/2023,Perú,Trujillo,Laptops,ASUS ZenBook 14,1149,0.29,4,4596,1332.84
1399,2024,4,2,02/04/2023,Panamá,Ciudad de Panamá,Smartphones,Huawei P40 Pro,899,0.34,1,899,305.66
1400,2024,4,22,22/04/2023,Perú,Trujillo,Smartphones,Sony Xperia 1 III,1199,0.1,1,1199,119.9
1401,2024,4,21,21/04/2023,Brasil,São Paulo,Smartphones,Huawei P40 Pro,899,0.34,2,1798,611.32
1402,2024,4,12,12/04/2023,México,Guadalajara,Smartphones,Oppo Find X3 Pro,1049,0.23,1,1049,241.27
1403,2024,4,3,03/04/2023,Costa Rica,Limón,Tablets,Google Pixel Slate,799,0.3,1,799,239.7
1404,2024,4,6,06/04/2023,Colombia,Bogotá,Laptops,Dell XPS 13,1399,0.35,5,6995,2448.25
1405,2024,4,5,05/04/2023,Uruguay,Montevideo,Auriculares,Sennheiser Momentum 3,324,0.32,2,648,207.36
1406,2024,4,17,17/04/2023,Bolivia,La Paz,Laptops,MacBook Pro 14,2999,0.19,2,5998,1139.62
1407,2024,4,13,13/04/2023,Paraguay,Asunción,Laptops,MacBook Pro 14,2999,0.19,1,2999,569.81
1408,2024,4,2,02/04/2023,Brasil,Brasilia,Laptops,Microsoft Surface Laptop 4,1649,0.27,2,3298,890.46
1409,2024,4,16,16/04/2023,Costa Rica,San José,Tablets,Huawei MatePad Pro,649,0.14,3,1947,272.58
1410,2024,4,19,19/04/2023,México,Monterrey,Auriculares,Sony WH-1000XM4,324,0.27,2,648,174.96
1411,2024,4,2,02/04/2023,Colombia,Cali,Laptops,Lenovo ThinkPad X1 Carbon,2049,0.11,2,4098,450.78
1412,2024,4,12,12/04/2023,México,Monterrey,Laptops,Microsoft Surface Laptop 4,1649,0.27,4,6596,1780.92
1413,2024,4,25,25/04/2023,Perú,Lima,Auriculares,Bose QuietComfort 35 II,274,0.28,5,1370,383.6
1414,2024,4,14,14/04/2023,Paraguay,Ciudad del Este,Tablets,Lenovo Tab P11 Pro,549,0.3,3,1647,494.1
1415,2024,4,1,01/04/2023,Uruguay,Salto,Laptops,HP Spectre x360,1799,0.25,1,1799,449.75
1416,2024,4,26,26/04/2023,México,Monterrey,Auriculares,Sennheiser Momentum 3,324,0.32,1,324,103.68
1417,2024,4,13,13/04/2023,México,Guadalajara,Auriculares,Beats Studio3,274,0.13,4,1096,142.48
1418,2024,4,22,22/04/2023,Paraguay,Encarnación,Tablets,ASUS ZenPad 3S 10,399,0.2,3,1197,239.4
1419,2024,4,7,07/04/2023,Chile,Valparaíso,Laptops,MacBook Pro 14,2999,0.19,1,2999,569.81
1420,2024,4,26,26/04/2023,Argentina,Buenos Aires,Laptops,Acer Swift 5,899,0.32,5,4495,1438.4
1421,2024,4,16,16/04/2023,Paraguay,Asunción,Tablets,LG G Pad 5 10.1,249,0.33,5,1245,410.85
1422,2024,4,7,07/04/2023,Panamá,David,Smartphones,Sony Xperia 1 III,1199,0.1,4,4796,479.6
1423,2024,4,1,01/04/2023,Chile,Concepción,Auriculares,Jabra Elite 85t,224,0.21,4,896,188.16
1424,2024,4,13,13/04/2023,Panamá,Colón,Smartphones,Asus ROG Phone 5,1099,0.13,5,5495,714.35
1425,2024,4,28,28/04/2023,Chile,Valparaíso,Auriculares,Samsung Galaxy Buds Pro,174,0.11,4,696,76.56
1426,2024,4,4,04/04/2023,Uruguay,Ciudad de la Costa,Laptops,MacBook Pro 14,2999,0.19,4,11996,2279.24
1427,2024,4,19,19/04/2023,Uruguay,Salto,Smartphones,Google Pixel 6,749,0.28,2,1498,419.44
1428,2024,4,21,21/04/2023,Brasil,Brasilia,Smartphones,Google Pixel 6,749,0.28,1,749,209.72
1429,2024,4,26,26/04/2023,Venezuela,Valencia,Smartphones,Samsung Galaxy S21,899,0.28,3,2697,755.16
1430,2024,4,2,02/04/2023,Paraguay,Encarnación,Tablets,Samsung Galaxy Tab S7,699,0.15,1,699,104.85
1431,2024,4,17,17/04/2023,Ecuador,Cuenca,Smartphones,Huawei P40 Pro,899,0.34,5,4495,1528.3
1432,2024,4,7,07/04/2023,Uruguay,Ciudad de la Costa,Laptops,MacBook Pro 14,2999,0.19,2,5998,1139.62
1433,2024,4,19,19/04/2023,Bolivia,La Paz,Smartphones,Oppo Find X3 Pro,1049,0.23,5,5245,1206.35
1434,2024,4,8,08/04/2023,Bolivia,Cochabamba,Smartphones,Xiaomi Mi 11,699,0.2,1,699,139.8
1435,2024,4,12,12/04/2023,Colombia,Cali,Laptops,ASUS ZenBook 14,1149,0.29,3,3447,999.63
1436,2024,4,24,24/04/2023,Brasil,Brasilia,Auriculares,Jabra Elite 85t,224,0.21,1,224,47.04
1437,2024,4,24,24/04/2023,Colombia,Bogotá,Laptops,HP Spectre x360,1799,0.25,5,8995,2248.75
1438,2024,4,8,08/04/2023,Argentina,Buenos Aires,Tablets,Huawei MatePad Pro,649,0.14,5,3245,454.3
1439,2024,4,2,02/04/2023,Venezuela,Caracas,Smartphones,Samsung Galaxy S21,899,0.28,1,899,251.72
1440,2024,4,22,22/04/2023,Perú,Arequipa,Tablets,Lenovo Tab P11 Pro,549,0.3,1,549,164.7
1441,2024,4,29,29/04/2023,Uruguay,Montevideo,Auriculares,Sennheiser Momentum 3,324,0.32,5,1620,518.4
1442,2024,4,5,05/04/2023,Colombia,Cali,Auriculares,Audio-Technica ATH-M50x,174,0.32,2,348,111.36
1443,2024,4,19,19/04/2023,Chile,Valparaíso,Auriculares,Samsung Galaxy Buds Pro,174,0.11,5,870,95.7
1444,2024,4,7,07/04/2023,Bolivia,La Paz,Smartphones,OnePlus 9,799,0.32,5,3995,1278.4
1445,2024,4,7,07/04/2023,Panamá,Ciudad de Panamá,Auriculares,Jabra Elite 85t,224,0.21,5,1120,235.2
1446,2024,4,28,28/04/2023,Perú,Lima,Tablets,ASUS ZenPad 3S 10,399,0.2,4,1596,319.2
1447,2024,4,16,16/04/2023,Chile,Concepción,Laptops,Razer Blade 15,2649,0.33,2,5298,1748.34
1448,2024,4,12,12/04/2023,Bolivia,Santa Cruz de la Sierra,Auriculares,Bose QuietComfort 35 II,274,0.28,1,274,76.72
1449,2024,5,25,25/05/2023,Brasil,Brasilia,Tablets,Amazon Fire HD 10,199,0.31,3,597,185.07
1450,2024,5,25,25/05/2023,Brasil,Río de Janeiro,Smartphones,Samsung Galaxy S21,899,0.28,3,2697,755.16
1451,2024,5,8,08/05/2023,Ecuador,Guayaquil,Smartphones,Motorola Edge 20 Pro,849,0.2,4,3396,679.2
1452,2024,5,31,31/05/2023,Ecuador,Quito,Laptops,Razer Blade 15,2649,0.33,4,10596,3496.68
1453,2024,5,29,29/05/2023,Panamá,Ciudad de Panamá,Laptops,Acer Swift 5,899,0.32,2,1798,575.36
1454,2024,5,17,17/05/2023,Perú,Lima,Auriculares,Razer Opus,224,0.11,2,448,49.28
1455,2024,5,16,16/05/2023,Ecuador,Guayaquil,Auriculares,Audio-Technica ATH-M50x,174,0.32,4,696,222.72
1456,2024,5,23,23/05/2023,Colombia,Medellín,Smartphones,Xiaomi Mi 11,699,0.2,5,3495,699
1457,2024,5,23,23/05/2023,Colombia,Cali,Auriculares,Microsoft Surface Earbuds,224,0.14,4,896,125.44
1458,2024,5,3,03/05/2023,Ecuador,Cuenca,Smartphones,Huawei P40 Pro,899,0.34,2,1798,611.32
1459,2024,5,23,23/05/2023,Panamá,Colón,Auriculares,Jabra Elite 85t,224,0.21,5,1120,235.2
1460,2024,5,6,06/05/2023,Uruguay,Ciudad de la Costa,Tablets,iPad Air,649,0.33,3,1947,642.51
1461,2024,5,26,26/05/2023,Paraguay,Asunción,Smartphones,Xiaomi Mi 11,699,0.2,5,3495,699
1462,2024,5,21,21/05/2023,Ecuador,Cuenca,Auriculares,Microsoft Surface Earbuds,224,0.14,1,224,31.36
1463,2024,5,17,17/05/2023,Perú,Lima,Auriculares,Bose QuietComfort 35 II,274,0.28,1,274,76.72
1464,2024,5,11,11/05/2023,Brasil,Brasilia,Auriculares,Sony WH-1000XM4,324,0.27,5,1620,437.4
1465,2024,5,19,19/05/2023,México,Guadalajara,Smartphones,iPhone 13,1099,0.19,3,3297,626.43
1466,2024,5,27,27/05/2023,Perú,Arequipa,Tablets,LG G Pad 5 10.1,249,0.33,5,1245,410.85
1467,2024,5,22,22/05/2023,Costa Rica,San José,Auriculares,Sony WH-1000XM4,324,0.27,4,1296,349.92
1468,2024,5,18,18/05/2023,Colombia,Bogotá,Smartphones,Google Pixel 6,749,0.28,2,1498,419.44
1469,2024,5,4,04/05/2023,Chile,Valparaíso,Tablets,Amazon Fire HD 10,199,0.31,1,199,61.69
1470,2024,5,13,13/05/2023,Chile,Santiago,Tablets,iPad Air,649,0.33,3,1947,642.51
1471,2024,5,6,06/05/2023,Panamá,Ciudad de Panamá,Laptops,Microsoft Surface Laptop 4,1649,0.27,2,3298,890.46
1472,2024,5,8,08/05/2023,Brasil,Brasilia,Laptops,Gigabyte Aero 15 OLED,2599,0.11,2,5198,571.78
1473,2024,5,12,12/05/2023,Panamá,Colón,Smartphones,Oppo Find X3 Pro,1049,0.23,5,5245,1206.35
1474,2024,5,7,07/05/2023,Uruguay,Salto,Laptops,MacBook Pro 14,2999,0.19,1,2999,569.81
1475,2024,5,9,09/05/2023,Colombia,Bogotá,Auriculares,Sennheiser Momentum 3,324,0.32,1,324,103.68
1476,2024,5,13,13/05/2023,Costa Rica,Limón,Tablets,Huawei MatePad Pro,649,0.14,1,649,90.86
1477,2024,5,29,29/05/2023,Panamá,Ciudad de Panamá,Auriculares,Apple AirPods Pro,224,0.26,2,448,116.48
1478,2024,5,10,10/05/2023,Panamá,Colón,Tablets,iPad Air,649,0.33,1,649,214.17
1479,2024,5,17,17/05/2023,Uruguay,Montevideo,Auriculares,Jabra Elite 85t,224,0.21,5,1120,235.2
1480,2024,5,6,06/05/2023,Argentina,Buenos Aires,Auriculares,Sennheiser Momentum 3,324,0.32,4,1296,414.72
1481,2024,5,28,28/05/2023,Paraguay,Ciudad del Este,Tablets,Amazon Fire HD 10,199,0.31,3,597,185.07
1482,2024,5,13,13/05/2023,Ecuador,Quito,Auriculares,Samsung Galaxy Buds Pro,174,0.11,4,696,76.56
1483,2024,5,7,07/05/2023,Ecuador,Guayaquil,Laptops,Razer Blade 15,2649,0.33,4,10596,3496.68
1484,2024,5,4,04/05/2023,Uruguay,Ciudad de la Costa,Laptops,ASUS ZenBook 14,1149,0.29,2,2298,666.42
1485,2024,5,1,01/05/2023,Perú,Trujillo,Tablets,Samsung Galaxy Tab S7,699,0.15,2,1398,209.7
1486,2024,5,15,15/05/2023,Ecuador,Guayaquil,Smartphones,iPhone 13,1099,0.19,3,3297,626.43
1487,2024,5,9,09/05/2023,Perú,Arequipa,Smartphones,LG Velvet,649,0.12,1,649,77.88
1488,2024,5,29,29/05/2023,Colombia,Cali,Laptops,Lenovo ThinkPad X1 Carbon,2049,0.11,3,6147,676.17
1489,2024,5,1,01/05/2023,Ecuador,Quito,Auriculares,Sennheiser Momentum 3,324,0.32,5,1620,518.4
1490,2024,5,11,11/05/2023,Brasil,Río de Janeiro,Laptops,ASUS ZenBook 14,1149,0.29,5,5745,1666.05
1491,2024,5,21,21/05/2023,Brasil,Río de Janeiro,Auriculares,Razer Opus,224,0.11,4,896,98.56
1492,2024,5,22,22/05/2023,Chile,Valparaíso,Auriculares,Audio-Technica ATH-M50x,174,0.32,1,174,55.68
1493,2024,5,23,23/05/2023,Bolivia,La Paz,Tablets,Xiaomi Mi Pad 5,449,0.26,2,898,233.48
1494,2024,5,16,16/05/2023,México,Monterrey,Smartphones,Huawei P40 Pro,899,0.34,5,4495,1528.3
1495,2024,5,17,17/05/2023,Panamá,David,Laptops,Acer Swift 5,899,0.32,2,1798,575.36
1496,2024,5,10,10/05/2023,Chile,Valparaíso,Auriculares,Sony WH-1000XM4,324,0.27,1,324,87.48
1497,2024,5,13,13/05/2023,Panamá,Colón,Smartphones,Samsung Galaxy S21,899,0.28,1,899,251.72
1498,2024,5,25,25/05/2023,Chile,Santiago,Tablets,Microsoft Surface Pro 7,999,0.35,1,999,349.65
1499,2024,5,2,02/05/2023,México,Guadalajara,Auriculares,Apple AirPods Pro,224,0.26,3,672,174.72
1500,2024,5,15,15/05/2023,Bolivia,Santa Cruz de la Sierra,Laptops,MSI GS66 Stealth,2249,0.2,3,6747,1349.4
1501,2024,5,17,17/05/2023,Venezuela,Valencia,Auriculares,Apple AirPods Pro,224,0.26,1,224,58.24
1502,2024,5,4,04/05/2023,Colombia,Bogotá,Auriculares,Microsoft Surface Earbuds,224,0.14,2,448,62.72
1503,2024,5,11,11/05/2023,México,Monterrey,Tablets,Amazon Fire HD 10,199,0.31,4,796,246.76
1504,2024,5,14,14/05/2023,Costa Rica,Heredia,Tablets,LG G Pad 5 10.1,249,0.33,3,747,246.51
1505,2024,5,9,09/05/2023,Perú,Arequipa,Auriculares,Audio-Technica ATH-M50x,174,0.32,2,348,111.36
1506,2024,5,27,27/05/2023,Costa Rica,San José,Smartphones,Motorola Edge 20 Pro,849,0.2,1,849,169.8
1507,2024,5,4,04/05/2023,Chile,Concepción,Tablets,Samsung Galaxy Tab S7,699,0.15,2,1398,209.7
1508,2024,5,7,07/05/2023,Chile,Santiago,Smartphones,Motorola Edge 20 Pro,849,0.2,5,4245,849
1509,2024,5,4,04/05/2023,Uruguay,Montevideo,Auriculares,Samsung Galaxy Buds Pro,174,0.11,1,174,19.14
1510,2024,5,12,12/05/2023,Bolivia,Cochabamba,Smartphones,Sony Xperia 1 III,1199,0.1,1,1199,119.9
1511,2024,5,5,05/05/2023,Uruguay,Ciudad de la Costa,Tablets,Amazon Fire HD 10,199,0.31,5,995,308.45
1512,2024,5,13,13/05/2023,Ecuador,Quito,Tablets,ASUS ZenPad 3S 10,399,0.2,3,1197,239.4
1513,2024,5,13,13/05/2023,Paraguay,Asunción,Laptops,Lenovo ThinkPad X1 Carbon,2049,0.11,3,6147,676.17
1514,2024,5,25,25/05/2023,Costa Rica,San José,Auriculares,Samsung Galaxy Buds Pro,174,0.11,5,870,95.7
1515,2024,5,1,01/05/2023,Argentina,Buenos Aires,Auriculares,Beats Studio3,274,0.13,4,1096,142.48
1516,2024,5,30,30/05/2023,Chile,Concepción,Smartphones,Google Pixel 6,749,0.28,1,749,209.72
1517,2024,5,31,31/05/2023,Perú,Trujillo,Smartphones,Oppo Find X3 Pro,1049,0.23,3,3147,723.81
1518,2024,5,14,14/05/2023,Ecuador,Guayaquil,Auriculares,Beats Studio3,274,0.13,3,822,106.86
1519,2024,5,10,10/05/2023,México,Monterrey,Tablets,LG G Pad 5 10.1,249,0.33,1,249,82.17
1520,2024,5,9,09/05/2023,Paraguay,Asunción,Laptops,Acer Swift 5,899,0.32,4,3596,1150.72
1521,2024,5,24,24/05/2023,Colombia,Cali,Auriculares,Microsoft Surface Earbuds,224,0.14,4,896,125.44
1522,2024,5,18,18/05/2023,Brasil,São Paulo,Auriculares,Microsoft Surface Earbuds,224,0.14,2,448,62.72
1523,2024,5,26,26/05/2023,Colombia,Bogotá,Auriculares,Microsoft Surface Earbuds,224,0.14,2,448,62.72
1524,2024,5,23,23/05/2023,Venezuela,Valencia,Tablets,Google Pixel Slate,799,0.3,3,2397,719.1
1525,2024,5,31,31/05/2023,Paraguay,Ciudad del Este,Tablets,Google Pixel Slate,799,0.3,5,3995,1198.5
1526,2024,5,27,27/05/2023,Bolivia,La Paz,Auriculares,Bose QuietComfort 35 II,274,0.28,2,548,153.44
1527,2024,5,14,14/05/2023,Colombia,Medellín,Auriculares,Beats Studio3,274,0.13,2,548,71.24
1528,2024,5,25,25/05/2023,Paraguay,Encarnación,Auriculares,Samsung Galaxy Buds Pro,174,0.11,2,348,38.28
1529,2024,5,17,17/05/2023,Panamá,David,Smartphones,Samsung Galaxy S21,899,0.28,3,2697,755.16
1530,2024,5,16,16/05/2023,Bolivia,Santa Cruz de la Sierra,Laptops,Acer Swift 5,899,0.32,4,3596,1150.72
1531,2024,5,2,02/05/2023,Costa Rica,Limón,Laptops,MSI GS66 Stealth,2249,0.2,1,2249,449.8
1532,2024,5,19,19/05/2023,Venezuela,Valencia,Laptops,MacBook Pro 14,2999,0.19,1,2999,569.81
1533,2024,5,24,24/05/2023,Bolivia,Santa Cruz de la Sierra,Tablets,LG G Pad 5 10.1,249,0.33,1,249,82.17
1534,2024,5,4,04/05/2023,Bolivia,Cochabamba,Smartphones,Asus ROG Phone 5,1099,0.13,1,1099,142.87
1535,2024,5,15,15/05/2023,Colombia,Medellín,Tablets,Huawei MatePad Pro,649,0.14,3,1947,272.58
1536,2024,5,29,29/05/2023,Ecuador,Guayaquil,Smartphones,Asus ROG Phone 5,1099,0.13,4,4396,571.48
1537,2024,5,26,26/05/2023,Paraguay,Encarnación,Smartphones,Motorola Edge 20 Pro,849,0.2,2,1698,339.6
1538,2024,5,30,30/05/2023,Uruguay,Montevideo,Smartphones,LG Velvet,649,0.12,5,3245,389.4
1539,2024,5,5,05/05/2023,Venezuela,Maracaibo,Smartphones,OnePlus 9,799,0.32,4,3196,1022.72
1540,2024,5,10,10/05/2023,Costa Rica,Limón,Laptops,MSI GS66 Stealth,2249,0.2,4,8996,1799.2
1541,2024,5,16,16/05/2023,Panamá,Ciudad de Panamá,Laptops,MSI GS66 Stealth,2249,0.2,2,4498,899.6
1542,2024,5,24,24/05/2023,Panamá,David,Laptops,Lenovo ThinkPad X1 Carbon,2049,0.11,4,8196,901.56
1543,2024,5,5,05/05/2023,Bolivia,Santa Cruz de la Sierra,Auriculares,Apple AirPods Pro,224,0.26,4,896,232.96
1544,2024,5,3,03/05/2023,Brasil,São Paulo,Tablets,Microsoft Surface Pro 7,999,0.35,1,999,349.65
1545,2024,5,18,18/05/2023,Paraguay,Ciudad del Este,Auriculares,Audio-Technica ATH-M50x,174,0.32,3,522,167.04
1546,2024,5,4,04/05/2023,Costa Rica,Limón,Tablets,Google Pixel Slate,799,0.3,4,3196,958.8
1547,2024,5,6,06/05/2023,Perú,Trujillo,Laptops,Microsoft Surface Laptop 4,1649,0.27,1,1649,445.23
1548,2024,5,18,18/05/2023,Brasil,Río de Janeiro,Smartphones,iPhone 13,1099,0.19,3,3297,626.43
1549,2024,5,3,03/05/2023,Colombia,Medellín,Tablets,Samsung Galaxy Tab S7,699,0.15,4,2796,419.4
1550,2024,5,15,15/05/2023,Brasil,Brasilia,Auriculares,Audio-Technica ATH-M50x,174,0.32,5,870,278.4
1551,2024,5,16,16/05/2023,Bolivia,Cochabamba,Smartphones,iPhone 13,1099,0.19,1,1099,208.81
1552,2024,5,31,31/05/2023,Bolivia,Santa Cruz de la Sierra,Auriculares,Microsoft Surface Earbuds,224,0.14,1,224,31.36
1553,2024,5,4,04/05/2023,Venezuela,Maracaibo,Laptops,MSI GS66 Stealth,2249,0.2,1,2249,449.8
1554,2024,5,5,05/05/2023,Panamá,Ciudad de Panamá,Tablets,Microsoft Surface Pro 7,999,0.35,1,999,349.65
1555,2024,5,7,07/05/2023,Uruguay,Ciudad de la Costa,Auriculares,Beats Studio3,274,0.13,4,1096,142.48
1556,2024,5,21,21/05/2023,Bolivia,Cochabamba,Auriculares,Beats Studio3,274,0.13,5,1370,178.1
1557,2024,5,19,19/05/2023,Costa Rica,Heredia,Tablets,Xiaomi Mi Pad 5,449,0.26,4,1796,466.96
1558,2024,5,11,11/05/2023,México,Monterrey,Tablets,Lenovo Tab P11 Pro,549,0.3,5,2745,823.5
1559,2024,5,1,01/05/2023,México,Guadalajara,Smartphones,iPhone 13,1099,0.19,5,5495,1044.05
1560,2024,5,26,26/05/2023,Colombia,Cali,Smartphones,Google Pixel 6,749,0.28,4,2996,838.88
